url,label,url_length,url_entropy,is_shortened,has_suspicious_tld,path_depth,domain,domain_age_days,days_to_expiry,has_mx_records,has_ssl,ip,asn,registrar,subdomain_count
https://www.sangoma.com,1,23,3.7081320646586025,0,0,0,sangoma.com,-1,-1,1,1,162.159.134.42,AS13335,,1
http://detailed-sudsy-nest.glitch.me/,0,37,4.023661393171458,0,0,0,glitch.me,-1,-1,0,0,unknown_ip,,,1
https://www.arena.it,1,20,3.546439344671015,0,0,0,arena.it,-1,-1,1,1,54.192.100.100,AS16509,,1
http://www.rrokl.pplink.club,0,28,3.842370993177109,0,1,0,pplink.club,-1,-1,0,0,unknown_ip,,,2
https://vidarengo.cl/php/sg/tel.php,0,35,3.908452846853521,0,0,3,vidarengo.cl,-1,-1,0,0,unknown_ip,,,0
http://www.higoec.com,0,21,3.594465636961452,0,0,0,higoec.com,-1,-1,1,0,135.181.112.62,AS24940,,1
http://www.n-document.biz,0,25,4.023465189601646,0,0,0,n-document.biz,-1,-1,1,1,34.41.139.193,AS396982,,1
http://www.eu.microsoft-365.workers.dev,0,39,4.284900936589072,0,0,0,workers.dev,-1,-1,0,1,104.18.12.15,AS13335,,3
https://www.au7373736382628184142.com/otp.html,0,46,4.251185325340039,0,0,1,au7373736382628184142.com,-1,-1,0,0,unknown_ip,,,1
https://www.keyauto.com,1,23,3.849223912390625,0,0,0,keyauto.com,-1,-1,1,1,23.212.254.26,AS20940,,1
https://ueltinaihif0192.z13.web.core.windows.net/,0,49,4.433601620014652,0,0,0,windows.net,-1,-1,0,0,20.231.239.246,AS8075,,4
http://www.vkcdnservice.com,0,27,4.032303242743954,0,0,0,vkcdnservice.com,-1,-1,1,0,93.186.225.194,AS47541,,1
http://www.navneetfamilycoach.com,0,33,4.043801694853792,0,0,0,navneetfamilycoach.com,-1,-1,0,0,104.21.90.98,AS13335,,1
https://www.stclementfinsbury.org,1,33,4.2107645737727895,0,0,0,stclementfinsbury.org,-1,-1,1,1,199.34.229.100,AS27647,,1
https://www.noteable.net,1,24,3.605388542207534,0,0,0,noteable.net,-1,-1,1,1,34.216.36.26,AS16509,,1
http://www.adx.xwmpn.com,0,24,3.636842188131012,0,0,0,xwmpn.com,-1,-1,0,0,unknown_ip,,,2
https://bafybeig5bh4eqnlw5j6dec5icalr4toipbqlpwbetqatlpat6nvjxmatwa.ipfs.nftstorage.link/ref.html,0,97,4.641114395275937,0,0,1,nftstorage.link,-1,-1,0,1,104.18.25.223,AS13335,,2
https://galilcicliente.info,0,27,3.8100810205217313,0,1,0,galilcicliente.info,-1,-1,0,0,unknown_ip,,,0
http://paypal.com-cgi-bin.webscr.cmd-secure-login.webscr.cmd-home.country-lang.true-cmd.vcikkso.dstech.us.com/,0,110,4.404913484438574,0,0,0,us.com,-1,-1,1,0,54.153.56.183,AS16509,,10
http://www.xaustock.com,0,23,3.762267390651495,0,0,0,xaustock.com,-1,-1,0,0,unknown_ip,,,1
http://a0808029.xsph.ru/w/login/login.php,0,41,4.1898860782540055,0,0,3,xsph.ru,-1,-1,0,0,unknown_ip,,,1
http://opensea.com.de,0,21,3.6897037321995474,0,0,0,com.de,-1,-1,1,0,54.153.56.183,AS16509,,1
https://att-1092476.weeblysite.com/,0,35,4.4115854318374295,0,0,0,weeblysite.com,-1,-1,0,1,74.115.51.55,AS27647,,1
http://www.0zr33n33fo.space,0,27,3.986187965046304,0,0,0,0zr33n33fo.space,-1,-1,0,0,unknown_ip,,,1
https://yahoo-104329.weeblysite.com/,0,36,4.4193819456463705,0,0,0,weeblysite.com,-1,-1,0,1,74.115.51.55,AS27647,,1
http://www.inesmanila.com,0,25,3.893660689688185,0,0,0,inesmanila.com,-1,-1,1,0,45.56.216.160,AS40092,,1
https://catrose.in/wp-admin/includes/includes/,0,46,4.077272281861777,0,0,3,catrose.in,-1,-1,1,0,65.98.12.63,AS204800,,0
http://www.agmcarpetcare.co.uk,0,30,3.8477426785812736,0,0,0,agmcarpetcare.co.uk,-1,-1,0,0,unknown_ip,,,1
