post_id,user_id,text,url,timestamp,label,campaign_id
P00000,U00002,URGENT: Your bank account needs verification: https://secure-bankverify.com/posts/tag,https://secure-bankverify.com/posts/tag,2026-08-04 03:03:32,1,C00000
P00001,U00002,URGENT: Your PayPal account needs verification: https://secure-bankverify.com/search/tags/category,https://secure-bankverify.com/search/tags/category,2026-08-04 03:21:32,1,C00000
P00002,U00002,Security alert! Chase account suspicious activity: https://secure-bankverify.com/list/category,https://secure-bankverify.com/list/category,2026-08-04 04:23:32,1,C00000
P00003,U00023,Immediate action required for your Citi account: https://secure-bankverify.com/app/tag,https://secure-bankverify.com/app/tag,2026-08-04 03:29:32,1,C00000
P00004,U00023,URGENT: Your bank account needs verification: https://secure-bankverify.com/wp-content/search,https://secure-bankverify.com/wp-content/search,2026-08-04 03:04:32,1,C00000
P00005,U00045,Immediate action required for your Wells Fargo account: https://secure-bankverify.com/wp-content,https://secure-bankverify.com/wp-content,2026-08-04 04:39:32,1,C00000
P00006,U00045,URGENT: Your bank account needs verification: https://secure-bankverify.com/blog/main/category,https://secure-bankverify.com/blog/main/category,2026-08-04 04:51:32,1,C00000
P00007,U00045,Security alert! bank account suspicious activity: https://secure-bankverify.com/category/posts/wp-content,https://secure-bankverify.com/category/posts/wp-content,2026-08-04 03:01:32,1,C00000
P00008,U00049,URGENT: Your PayPal account needs verification: https://secure-bankverify.com/categories,https://secure-bankverify.com/categories,2026-08-04 04:54:32,1,C00000
P00009,U00049,Immediate action required for your Wells Fargo account: https://secure-bankverify.com/tag/categories/list,https://secure-bankverify.com/tag/categories/list,2026-08-04 04:41:32,1,C00000
P00010,U00049,Immediate action required for your Wells Fargo account: https://secure-bankverify.com/categories/wp-content,https://secure-bankverify.com/categories/wp-content,2026-08-04 03:59:32,1,C00000
P00011,U00049,URGENT: Your Wells Fargo account needs verification: https://secure-bankverify.com/app/list,https://secure-bankverify.com/app/list,2026-08-04 04:23:32,1,C00000
P00012,U00049,Security alert! PayPal account suspicious activity: https://secure-bankverify.com/app/categories/categories,https://secure-bankverify.com/app/categories/categories,2026-08-04 03:41:32,1,C00000
P00013,U00093,URGENT: Your Chase account needs verification: https://secure-bankverify.com/blog/tags/main,https://secure-bankverify.com/blog/tags/main,2026-08-04 03:31:32,1,C00000
P00014,U00093,Security alert! PayPal account suspicious activity: https://secure-bankverify.com/wp-content/explore,https://secure-bankverify.com/wp-content/explore,2026-08-04 03:00:32,1,C00000
P00015,U00093,Immediate action required for your Citi account: https://secure-bankverify.com/search,https://secure-bankverify.com/search,2026-08-04 04:14:32,1,C00000
P00016,U00115,Immediate action required for your Chase account: https://secure-bankverify.com/app,https://secure-bankverify.com/app,2026-08-04 03:59:32,1,C00000
P00017,U00115,Security alert! Citi account suspicious activity: https://secure-bankverify.com/app/blog,https://secure-bankverify.com/app/blog,2026-08-04 03:57:32,1,C00000
P00018,U00115,URGENT: Your bank account needs verification: https://secure-bankverify.com/list,https://secure-bankverify.com/list,2026-08-04 03:31:32,1,C00000
P00019,U00119,URGENT: Your Wells Fargo account needs verification: https://secure-bankverify.com/posts,https://secure-bankverify.com/posts,2026-08-04 03:21:32,1,C00000
P00020,U00119,Immediate action required for your Citi account: https://secure-bankverify.com/search/blog,https://secure-bankverify.com/search/blog,2026-08-04 03:27:32,1,C00000
P00021,U00119,Immediate action required for your Citi account: https://secure-bankverify.com/main,https://secure-bankverify.com/main,2026-08-04 04:37:32,1,C00000
P00022,U00119,URGENT: Your Wells Fargo account needs verification: https://secure-bankverify.com/categories/categories,https://secure-bankverify.com/categories/categories,2026-08-04 04:36:32,1,C00000
P00023,U00119,Immediate action required for your Chase account: https://secure-bankverify.com/categories/explore,https://secure-bankverify.com/categories/explore,2026-08-04 03:57:32,1,C00000
P00024,U00126,Security alert! Citi account suspicious activity: https://secure-bankverify.com/explore,https://secure-bankverify.com/explore,2026-08-04 04:00:32,1,C00000
P00025,U00126,Security alert! Wells Fargo account suspicious activity: https://secure-bankverify.com/tags/posts/main,https://secure-bankverify.com/tags/posts/main,2026-08-04 03:30:32,1,C00000
P00026,U00126,URGENT: Your bank account needs verification: https://secure-bankverify.com/wp-content,https://secure-bankverify.com/wp-content,2026-08-04 03:36:32,1,C00000
P00027,U00126,Immediate action required for your PayPal account: https://secure-bankverify.com/tags/posts/explore,https://secure-bankverify.com/tags/posts/explore,2026-08-04 02:59:32,1,C00000
P00028,U00126,Security alert! bank account suspicious activity: https://secure-bankverify.com/posts,https://secure-bankverify.com/posts,2026-08-04 04:39:32,1,C00000
P00029,U00136,Immediate action required for your Chase account: https://secure-bankverify.com/category,https://secure-bankverify.com/category,2026-08-04 04:34:32,1,C00000
P00030,U00136,Immediate action required for your PayPal account: https://secure-bankverify.com/list/list/search,https://secure-bankverify.com/list/list/search,2026-08-04 03:16:32,1,C00000
P00031,U00136,URGENT: Your PayPal account needs verification: https://secure-bankverify.com/tag/tags/app,https://secure-bankverify.com/tag/tags/app,2026-08-04 04:20:32,1,C00000
P00032,U00136,URGENT: Your Chase account needs verification: https://secure-bankverify.com/category/tags,https://secure-bankverify.com/category/tags,2026-08-04 04:04:32,1,C00000
