source_user_id,target_user_id
U00002,U00023
U00002,U00126
U00002,U00136
U00002,U00185
U00002,U00187
U00002,U00267
U00002,U00372
U00002,U00380
U00002,U00396
U00002,U00413
U00002,U00494
U00023,U00049
U00023,U00093
U00023,U00136
U00023,U00185
U00023,U00215
U00023,U00267
U00023,U00372
U00023,U00373
U00023,U00396
U00023,U00463
U00023,U00494
U00045,U00002
U00045,U00023
U00045,U00187
U00045,U00267
U00045,U00372
U00045,U00380
U00045,U00413
U00045,U00463
U00045,U00494
U00049,U00002
U00049,U00093
U00049,U00115
U00049,U00126
U00049,U00215
U00049,U00267
U00049,U00349
U00049,U00373
U00049,U00380
U00049,U00396
U00049,U00463
U00093,U00023
U00093,U00045
U00093,U00136
U00093,U00185
U00093,U00201
U00093,U00215
U00093,U00373
U00093,U00396
U00093,U00413
U00093,U00463
U00093,U00494
U00115,U00045
U00115,U00119
U00115,U00126
U00115,U00185
U00115,U00267
U00115,U00349
U00115,U00380
U00115,U00396
U00115,U00463
U00115,U00494
U00119,U00045
U00119,U00093
U00119,U00115
U00119,U00126
U00119,U00136
U00119,U00185
U00119,U00215
U00119,U00372
U00119,U00380
U00119,U00494
U00126,U00023
U00126,U00049
U00126,U00119
U00126,U00185
U00126,U00187
U00126,U00349
U00126,U00380
U00126,U00396
U00126,U00463
U00126,U00494
U00136,U00002
U00136,U00023
U00136,U00045
U00136,U00049
U00136,U00126
U00136,U00185
U00136,U00187
U00136,U00349
U00136,U00494
U00185,U00002
U00185,U00093
U00185,U00119
U00185,U00126
U00185,U00136
U00185,U00187
U00185,U00201
U00185,U00349
U00185,U00372
U00185,U00396
U00187,U00023
U00187,U00045
U00187,U00049
U00187,U00093
U00187,U00115
U00187,U00119
U00187,U00126
U00187,U00136
U00187,U00185
U00187,U00267
U00187,U00349
U00187,U00396
U00187,U00413
U00187,U00494
U00201,U00002
U00201,U00023
U00201,U00045
U00201,U00049
U00201,U00126
U00201,U00349
U00201,U00372
U00201,U00380
U00201,U00463
U00201,U00494
U00215,U00023
U00215,U00049
U00215,U00093
U00215,U00115
U00215,U00119
U00215,U00126
U00215,U00136
U00215,U00185
U00215,U00187
U00215,U00396
U00215,U00413
U00267,U00002
U00267,U00093
U00267,U00215
U00267,U00349
U00267,U00372
U00267,U00396
U00349,U00002
U00349,U00045
U00349,U00093
U00349,U00126
U00349,U00201
U00349,U00267
U00349,U00372
U00349,U00373
U00349,U00413
U00372,U00023
U00372,U00093
U00372,U00115
U00372,U00267
U00372,U00494
U00373,U00115
U00373,U00119
U00373,U00136
U00373,U00215
U00373,U00267
U00373,U00349
U00373,U00380
U00373,U00413
U00380,U00002
U00380,U00023
U00380,U00093
U00380,U00115
U00380,U00119
U00380,U00136
U00380,U00185
U00380,U00215
U00380,U00349
U00380,U00372
U00380,U00373
U00380,U00396
U00380,U00463
U00380,U00494
U00396,U00023
U00396,U00045
U00396,U00049
U00396,U00115
U00396,U00119
U00396,U00126
U00396,U00136
U00396,U00187
U00396,U00215
U00396,U00267
U00396,U00349
U00396,U00372
